Date,Time,date_time,air_temp,relative_humidity,wind_speed,wind_gust,wind_direction
,,,Fahrenheit,%,Miles/hour,Miles/hour,Degrees
12/31/17,15:54,12/31/17-15:54,62.01,69,0,,
12/31/17,15:44,12/31/17-15:44,62.01,67,0,,
12/31/17,15:34,12/31/17-15:34,62.01,67,0,,
12/31/17,15:24,12/31/17-15:24,62.01,65,0,,
12/31/17,15:14,12/31/17-15:14,63,64,0,,
12/31/17,15:04,12/31/17-15:04,62.01,65,0,,
12/31/17,14:54,12/31/17-14:54,62.01,68,0,,
12/31/17,14:44,12/31/17-14:44,63,66,0,,
12/31/17,14:34,12/31/17-14:34,64,65,0,,
12/31/17,14:24,12/31/17-14:24,64,64,0,,
12/31/17,14:14,12/31/17-14:14,64,63,0,,
12/31/17,14:04,12/31/17-14:04,64,63,0,,
12/31/17,13:54,12/31/17-13:54,64,62,0,,
12/31/17,13:44,12/31/17-13:44,64,63,0,,
12/31/17,13:34,12/31/17-13:34,63,65,0,,
12/31/17,13:24,12/31/17-13:24,63,65,0,,
12/31/17,13:14,12/31/17-13:14,64,65,0,,
12/31/17,13:04,12/31/17-13:04,63,64,0,,
12/31/17,12:54,12/31/17-12:54,64,63,0,,
12/31/17,12:44,12/31/17-12:44,64,62,0,,
12/31/17,12:34,12/31/17-12:34,64,61,0,,
12/31/17,12:24,12/31/17-12:24,64.99,61,0,,
12/31/17,12:14,12/31/17-12:14,64,62,0,,
12/31/17,12:04,12/31/17-12:04,64,62,0,,
12/31/17,11:54,12/31/17-11:54,64,64,0,,
12/31/17,11:44,12/31/17-11:44,63,65,0,,
12/31/17,11:34,12/31/17-11:34,63,64,0,,
12/31/17,11:24,12/31/17-11:24,62.01,67,0,,
12/31/17,11:14,12/31/17-11:14,62.01,65,0,,
12/31/17,11:04,12/31/17-11:04,61,65,0,,
12/31/17,10:54,12/31/17-10:54,61,67,0,,
12/31/17,10:44,12/31/17-10:44,60.01,69,0,,
12/31/17,10:34,12/31/17-10:34,60.01,70,0,,
12/31/17,10:24,12/31/17-10:24,60.01,72,0,,
12/31/17,10:14,12/31/17-10:14,59,73,0,,
12/31/17,10:04,12/31/17-10:04,59,76,0,,
12/31/17,09:54,12/31/17-09:54,57.99,78,0,,
12/31/17,09:44,12/31/17-09:44,57,80,0,,
12/31/17,09:34,12/31/17-09:34,55.99,82,0,,
12/31/17,09:24,12/31/17-09:24,55,83,0,,
12/31/17,09:14,12/31/17-09:14,54,84,0,,
12/31/17,09:04,12/31/17-09:04,54,85,0,,
12/31/17,08:54,12/31/17-08:54,53.01,86,0,,
12/31/17,08:44,12/31/17-08:44,52,86,0,,
12/31/17,08:34,12/31/17-08:34,52,86,0,,
12/31/17,08:24,12/31/17-08:24,51.01,86,0,,
12/31/17,08:14,12/31/17-08:14,51.01,85,0,,
12/31/17,08:04,12/31/17-08:04,51.01,86,0,,
12/31/17,07:54,12/31/17-07:54,51.01,86,0,,
12/31/17,07:44,12/31/17-07:44,51.01,86,0,,
12/31/17,07:34,12/31/17-07:34,50,85,0,,
12/31/17,07:24,12/31/17-07:24,50,85,0,,
12/31/17,07:14,12/31/17-07:14,50,85,0,,
12/31/17,07:04,12/31/17-07:04,50,85,0,,
12/31/17,06:54,12/31/17-06:54,51.01,85,0,,
12/31/17,06:44,12/31/17-06:44,51.01,85,0,,
12/31/17,06:34,12/31/17-06:34,51.01,85,0,,
12/31/17,06:24,12/31/17-06:24,51.01,85,0,,
12/31/17,06:14,12/31/17-06:14,51.01,85,0,,
12/31/17,06:04,12/31/17-06:04,51.01,84,0,,
12/31/17,05:54,12/31/17-05:54,51.01,84,0,,
12/31/17,05:44,12/31/17-05:44,51.01,84,0,,
12/31/17,05:34,12/31/17-05:34,51.01,83,0,,
12/31/17,05:24,12/31/17-05:24,51.01,83,0,,
12/31/17,05:14,12/31/17-05:14,51.01,83,0,,
12/31/17,05:04,12/31/17-05:04,51.01,83,0,,
12/31/17,04:54,12/31/17-04:54,51.01,83,0,,
12/31/17,04:44,12/31/17-04:44,51.01,84,0,,
12/31/17,04:34,12/31/17-04:34,51.01,85,0,,
12/31/17,04:24,12/31/17-04:24,51.01,85,0,,
12/31/17,04:14,12/31/17-04:14,51.01,86,0,,
12/31/17,04:04,12/31/17-04:04,51.01,86,0,,
12/31/17,03:54,12/31/17-03:54,51.01,86,0,,
12/31/17,03:44,12/31/17-03:44,51.01,86,0,,
12/31/17,03:34,12/31/17-03:34,51.01,86,0,,
12/31/17,03:24,12/31/17-03:24,51.01,87,0,,
12/31/17,03:14,12/31/17-03:14,50,86,0,,
12/31/17,03:04,12/31/17-03:04,50,86,0,,
12/31/17,02:54,12/31/17-02:54,50,87,0,,
12/31/17,02:44,12/31/17-02:44,50,87,0,,
