Date,Time,date_time,altimeter,air_temp,relative_humidity,wind_direction,wind_speed,sea_level_pressure,Unnamed: 9
12/31/23,16:10,2023-12-31 16:10:00,30.05,60.98,69.89,90,6.91,,1017.6
12/31/23,16:51,2023-12-31 16:51:00,30.05,60.08,69.32,0,0,1017.6,1017.6
12/31/23,16:58,2023-12-31 16:58:00,30.05,60.08,69.32,220,3.45,,1017.6
12/31/23,17:51,2023-12-31 17:51:00,30.06,57.92,80.58,140,3.45,1017.9,1017.95
12/31/23,18:51,2023-12-31 18:51:00,30.07,57.02,83.23,0,0,1018.1,1018.29
12/31/23,19:51,2023-12-31 19:51:00,30.06,55.94,86.54,50,4.6,1017.9,1017.96
12/31/23,20:51,2023-12-31 20:51:00,30.07,55.04,86.49,80,3.45,1018.2,1018.3
12/31/23,21:51,2023-12-31 21:51:00,30.06,53.06,85.8,50,4.6,1017.8,1017.96
12/31/23,22:51,2023-12-31 22:51:00,30.05,53.06,85.8,40,6.91,1017.6,1017.63
12/31/23,23:51,2023-12-31 23:51:00,30.05,53.06,82.95,40,6.91,1017.6,1017.63
01/01/24,00:51,2024-01-01 00:51:00,30.04,53.06,79.65,50,6.91,1017.1,1017.29
01/01/24,01:51,2024-01-01 01:51:00,30.03,51.08,82.82,60,8.06,1016.9,1016.96
01/01/24,02:51,2024-01-01 02:51:00,30.04,51.08,79.49,60,5.75,1017.3,1017.29
01/01/24,03:51,2024-01-01 03:51:00,30.04,51.08,73.7,50,5.75,1017.1,1017.29
01/01/24,04:51,2024-01-01 04:51:00,30.03,51.08,71.19,50,6.91,1016.9,1016.96
01/01/24,05:51,2024-01-01 05:51:00,30.04,50,74.1,30,5.75,1017.3,1017.3
01/01/24,06:51,2024-01-01 06:51:00,30.06,50,71.08,340,3.45,1017.8,1017.97
01/01/24,07:51,2024-01-01 07:51:00,30.08,50,71.08,30,4.6,1018.4,1018.65
01/01/24,08:51,2024-01-01 08:51:00,30.1,55.94,64.3,350,3.45,1019.3,1019.31
01/01/24,09:51,2024-01-01 09:51:00,30.12,60.98,53.68,340,4.6,1019.9,1019.97
01/01/24,10:51,2024-01-01 10:51:00,30.11,64.94,44.83,20,10.36,1019.6,1019.62
01/01/24,11:51,2024-01-01 11:51:00,30.09,68,43.49,40,12.66,1018.8,1018.94
01/01/24,12:51,2024-01-01 12:51:00,30.06,64.04,56,300,10.36,1017.9,1017.93
01/01/24,13:51,2024-01-01 13:51:00,30.06,64.04,57.92,300,12.66,1017.9,1017.93
01/01/24,14:51,2024-01-01 14:51:00,30.06,64.04,62.76,300,13.81,1018,1017.93
01/01/24,15:51,2024-01-01 15:51:00,30.07,62.06,64.63,300,14.96,1018.3,1018.28
01/01/24,16:51,2024-01-01 16:51:00,30.09,60.08,69.32,300,10.36,1018.9,1018.96
01/01/24,17:51,2024-01-01 17:51:00,30.12,57.92,77.94,290,10.36,1019.8,1019.98
01/01/24,18:51,2024-01-01 18:51:00,30.12,55.94,83.71,310,3.45,1019.9,1019.99
01/01/24,19:51,2024-01-01 19:51:00,30.13,55.04,79.81,340,3.45,1020.4,1020.33
01/01/24,20:51,2024-01-01 20:51:00,30.15,53.06,79.65,0,0,1020.9,1021.01
01/01/24,21:51,2024-01-01 21:51:00,30.15,51.08,79.49,0,0,1021,1021.02
01/01/24,22:51,2024-01-01 22:51:00,30.16,50,79.95,0,0,1021.3,1021.36
01/01/24,23:51,2024-01-01 23:51:00,30.17,48.92,83.23,70,4.6,1021.4,1021.7
01/02/24,00:51,2024-01-02 00:51:00,30.16,50,76.71,50,5.75,1021.1,1021.36
01/02/24,01:51,2024-01-02 01:51:00,30.17,50,74.1,40,6.91,1021.5,1021.7
01/02/24,02:51,2024-01-02 02:51:00,30.18,48.92,77.15,0,0,1021.8,1022.04
01/02/24,03:51,2024-01-02 03:51:00,30.17,50,71.08,50,6.91,1021.6,1021.7
01/02/24,04:51,2024-01-02 04:51:00,30.18,48.92,73.99,40,6.91,1022,1022.04
01/02/24,05:51,2024-01-02 05:51:00,30.19,48.92,70.96,40,8.06,1022.3,1022.38
01/02/24,06:51,2024-01-02 06:51:00,30.21,48.02,73.39,50,6.91,1022.8,1023.06
