Date,Time,date_time,altimeter,air_temp,relative_humidity,wind_speed,wind_direction
12/31/23,16:00,2023-12-31 16:00:00,30.03,57,78,0,
12/31/23,16:30,2023-12-31 16:30:00,30.03,56,79,0,
12/31/23,16:45,2023-12-31 16:45:00,30.02,55,80,0,
12/31/23,17:00,2023-12-31 17:00:00,30.02,54,82,0,
12/31/23,17:30,2023-12-31 17:30:00,30.03,53,85,0,
12/31/23,17:45,2023-12-31 17:45:00,30.04,52,86,0,
12/31/23,18:00,2023-12-31 18:00:00,30.04,52,87,0,
12/31/23,18:30,2023-12-31 18:30:00,30.04,52,87,0,
12/31/23,18:45,2023-12-31 18:45:00,30.04,52,87,0,
12/31/23,19:00,2023-12-31 19:00:00,30.04,52,87,0,
12/31/23,19:30,2023-12-31 19:30:00,30.04,52,88,0,
12/31/23,19:45,2023-12-31 19:45:00,30.04,52,88,0,
12/31/23,20:00,2023-12-31 20:00:00,30.04,52,88,0,
12/31/23,20:30,2023-12-31 20:30:00,30.04,52,89,0,
12/31/23,20:45,2023-12-31 20:45:00,30.04,51,89,0,
12/31/23,21:00,2023-12-31 21:00:00,30.04,52,89,0,
12/31/23,21:30,2023-12-31 21:30:00,30.04,51,90,0,
12/31/23,21:45,2023-12-31 21:45:00,30.03,51,90,0,
12/31/23,22:00,2023-12-31 22:00:00,30.03,51,90,0,
12/31/23,22:30,2023-12-31 22:30:00,30.03,51,90,0,
12/31/23,22:45,2023-12-31 22:45:00,30.04,51,90,0,
12/31/23,23:00,2023-12-31 23:00:00,30.03,51,90,0,
12/31/23,23:30,2023-12-31 23:30:00,30.03,50,90,0,
12/31/23,23:45,2023-12-31 23:45:00,30.03,50,90,0,
01/01/24,00:00,2024-01-01 00:00:00,30.03,50,89,0,
01/01/24,00:30,2024-01-01 00:30:00,30.03,51,85,0,
01/01/24,00:45,2024-01-01 00:45:00,30.03,52,81,0,
01/01/24,01:00,2024-01-01 01:00:00,30.02,52,79,0,
01/01/24,01:30,2024-01-01 01:30:00,30.02,52,76,1,36
01/01/24,01:45,2024-01-01 01:45:00,30.02,52,75,1,38
01/01/24,02:00,2024-01-01 02:00:00,30.01,52,76,1,35
01/01/24,02:30,2024-01-01 02:30:00,30.02,51,76,0,
01/01/24,02:46,2024-01-01 02:46:00,30.02,51,75,1,34
01/01/24,03:00,2024-01-01 03:00:00,30.02,51,74,1,36
01/01/24,03:30,2024-01-01 03:30:00,30.02,51,72,1,35
01/01/24,03:45,2024-01-01 03:45:00,30.01,52,71,2,38
01/01/24,04:00,2024-01-01 04:00:00,30.01,52,71,2,32
01/01/24,04:30,2024-01-01 04:30:00,30.01,52,70,2,32
01/01/24,04:46,2024-01-01 04:46:00,30.01,51,71,1,28
01/01/24,05:00,2024-01-01 05:00:00,30.01,51,71,2,40
01/01/24,05:30,2024-01-01 05:30:00,30.01,52,68,3,34
01/01/24,05:45,2024-01-01 05:45:00,30.01,52,68,2,33
01/01/24,06:01,2024-01-01 06:01:00,30.02,52,68,2,32
01/01/24,06:30,2024-01-01 06:30:00,30.03,52,69,2,30
01/01/24,06:45,2024-01-01 06:45:00,30.03,52,69,3,24
01/01/24,07:00,2024-01-01 07:00:00,30.03,51,69,1,34
01/01/24,07:30,2024-01-01 07:30:00,30.04,52,69,2,31
01/01/24,07:45,2024-01-01 07:45:00,30.05,52,69,2,36
01/01/24,08:00,2024-01-01 08:00:00,30.06,52,69,1,34
01/01/24,08:30,2024-01-01 08:30:00,30.07,52,70,0,
01/01/24,08:45,2024-01-01 08:45:00,30.08,53,68,2,28
01/01/24,09:01,2024-01-01 09:01:00,30.08,54,66,3,30
01/01/24,09:30,2024-01-01 09:30:00,30.09,56,63,3,15
01/01/24,09:45,2024-01-01 09:45:00,30.09,56,62,3,38
01/01/24,10:00,2024-01-01 10:00:00,30.1,57,62,3,16
01/01/24,10:30,2024-01-01 10:30:00,30.1,58,60,2,38
01/01/24,10:45,2024-01-01 10:45:00,30.1,59,58,2,42
01/01/24,11:00,2024-01-01 11:00:00,30.09,60,58,3,32
01/01/24,11:30,2024-01-01 11:30:00,30.09,61,55,2,37
01/01/24,11:45,2024-01-01 11:45:00,30.07,61,54,2,42
01/01/24,12:00,2024-01-01 12:00:00,30.06,61,55,1,46
01/01/24,12:30,2024-01-01 12:30:00,30.04,62,53,2,57
01/01/24,12:45,2024-01-01 12:45:00,30.04,63,51,1,38
01/01/24,13:00,2024-01-01 13:00:00,30.03,63,51,1,40
01/01/24,13:30,2024-01-01 13:30:00,30.04,63,51,1,40
01/01/24,13:45,2024-01-01 13:45:00,30.03,64,51,1,44
01/01/24,14:00,2024-01-01 14:00:00,30.03,63,50,1,40
01/01/24,14:30,2024-01-01 14:30:00,30.04,64,49,1,28
01/01/24,14:45,2024-01-01 14:45:00,30.04,64,48,1,53
01/01/24,15:00,2024-01-01 15:00:00,30.04,63,48,1,22
01/01/24,15:30,2024-01-01 15:30:00,30.04,62,48,2,42
01/01/24,15:45,2024-01-01 15:45:00,30.05,62,49,0,
01/01/24,16:00,2024-01-01 16:00:00,30.05,61,50,1,36
01/01/24,16:30,2024-01-01 16:30:00,30.05,60,51,0,
01/01/24,16:45,2024-01-01 16:45:00,30.06,59,53,0,
01/01/24,17:00,2024-01-01 17:00:00,30.07,58,55,0,
01/01/24,17:30,2024-01-01 17:30:00,30.08,57,57,0,
01/01/24,17:45,2024-01-01 17:45:00,30.08,56,57,0,
01/01/24,18:00,2024-01-01 18:00:00,30.09,56,61,0,
01/01/24,18:30,2024-01-01 18:30:00,30.1,55,72,0,
01/01/24,18:45,2024-01-01 18:45:00,30.11,53,75,0,
01/01/24,19:00,2024-01-01 19:00:00,30.11,52,76,0,
01/01/24,19:30,2024-01-01 19:30:00,30.1,51,80,0,
01/01/24,19:45,2024-01-01 19:45:00,30.1,50,81,0,
01/01/24,20:00,2024-01-01 20:00:00,30.11,50,79,0,
01/01/24,20:30,2024-01-01 20:30:00,30.12,50,80,0,
01/01/24,20:45,2024-01-01 20:45:00,30.12,49,80,0,
01/01/24,21:00,2024-01-01 21:00:00,30.12,50,79,0,
01/01/24,21:30,2024-01-01 21:30:00,30.12,49,83,0,
01/01/24,21:45,2024-01-01 21:45:00,30.12,48,83,0,
01/01/24,22:00,2024-01-01 22:00:00,30.12,49,81,0,
01/01/24,22:30,2024-01-01 22:30:00,30.12,49,76,0,
01/01/24,22:45,2024-01-01 22:45:00,30.13,49,76,0,
01/01/24,23:00,2024-01-01 23:00:00,30.13,49,76,0,
01/01/24,23:30,2024-01-01 23:30:00,30.14,49,76,0,
01/01/24,23:45,2024-01-01 23:45:00,30.14,49,76,0,
01/02/24,00:00,2024-01-02 00:00:00,30.14,48,79,0,
01/02/24,00:30,2024-01-02 00:30:00,30.13,48,79,0,
01/02/24,00:45,2024-01-02 00:45:00,30.13,49,76,0,
01/02/24,01:00,2024-01-02 01:00:00,30.13,50,74,0,
01/02/24,01:30,2024-01-02 01:30:00,30.14,47,78,0,
01/02/24,01:45,2024-01-02 01:45:00,30.14,47,80,0,
01/02/24,02:00,2024-01-02 02:00:00,30.14,46,81,0,
01/02/24,02:30,2024-01-02 02:30:00,30.14,47,81,0,
01/02/24,02:45,2024-01-02 02:45:00,30.14,47,81,0,
01/02/24,03:00,2024-01-02 03:00:00,30.14,48,79,0,
01/02/24,03:30,2024-01-02 03:30:00,30.14,48,78,0,
01/02/24,03:45,2024-01-02 03:45:00,30.14,47,78,0,
01/02/24,04:00,2024-01-02 04:00:00,30.14,47,80,0,
01/02/24,04:30,2024-01-02 04:30:00,30.14,47,79,0,
01/02/24,04:45,2024-01-02 04:45:00,30.14,48,77,0,
01/02/24,05:00,2024-01-02 05:00:00,30.15,47,78,0,
01/02/24,05:30,2024-01-02 05:30:00,30.17,45,81,0,
01/02/24,05:45,2024-01-02 05:45:00,30.16,44,83,0,
01/02/24,06:00,2024-01-02 06:00:00,30.16,45,85,0,
01/02/24,06:30,2024-01-02 06:30:00,30.18,46,82,0,
01/02/24,06:45,2024-01-02 06:45:00,30.18,46,81,0,
01/02/24,07:00,2024-01-02 07:00:00,30.18,45,81,0,
01/02/24,07:30,2024-01-02 07:30:00,30.19,46,82,0,
01/02/24,07:45,2024-01-02 07:45:00,30.19,46,81,0,
01/02/24,08:00,2024-01-02 08:00:00,30.19,47,80,0,
01/02/24,08:30,2024-01-02 08:30:00,30.2,49,79,0,
01/02/24,08:45,2024-01-02 08:45:00,30.21,50,78,0,
01/02/24,09:00,2024-01-02 09:00:00,30.22,51,76,0,
01/02/24,09:30,2024-01-02 09:30:00,30.23,54,72,0,
01/02/24,09:45,2024-01-02 09:45:00,30.23,54,71,0,
01/02/24,10:00,2024-01-02 10:00:00,30.24,56,72,0,
01/02/24,10:30,2024-01-02 10:30:00,30.23,57,68,0,
01/02/24,10:46,2024-01-02 10:46:00,30.23,57,69,0,
01/02/24,11:00,2024-01-02 11:00:00,30.22,58,69,0,
01/02/24,11:31,2024-01-02 11:31:00,30.2,59,67,0,
01/02/24,11:46,2024-01-02 11:46:00,30.2,59,69,0,
01/02/24,12:00,2024-01-02 12:00:00,30.19,59,68,0,
01/02/24,12:30,2024-01-02 12:30:00,30.18,60,71,1,51
01/02/24,12:45,2024-01-02 12:45:00,30.18,60,71,0,
01/02/24,13:00,2024-01-02 13:00:00,30.17,60,70,1,225
01/02/24,13:30,2024-01-02 13:30:00,30.16,59,70,0,
01/02/24,13:45,2024-01-02 13:45:00,30.16,59,70,1,229
01/02/24,14:00,2024-01-02 14:00:00,30.16,60,70,1,234
01/02/24,14:31,2024-01-02 14:31:00,30.15,60,67,0,
01/02/24,14:45,2024-01-02 14:45:00,30.16,60,67,0,
01/02/24,15:00,2024-01-02 15:00:00,30.16,60,67,1,243
01/02/24,15:30,2024-01-02 15:30:00,30.15,59,69,0,
01/02/24,15:46,2024-01-02 15:46:00,30.16,59,73,0,
01/02/24,16:01,2024-01-02 16:01:00,30.15,58,78,0,
01/02/24,16:31,2024-01-02 16:31:00,30.15,57,81,0,
01/02/24,16:46,2024-01-02 16:46:00,30.15,56,83,0,
01/02/24,17:01,2024-01-02 17:01:00,30.15,55,85,0,
01/02/24,17:31,2024-01-02 17:31:00,30.15,54,86,0,
01/02/24,17:46,2024-01-02 17:46:00,30.16,53,87,0,
01/02/24,18:01,2024-01-02 18:01:00,30.16,53,88,0,
01/02/24,18:31,2024-01-02 18:31:00,30.17,51,89,0,
01/02/24,18:46,2024-01-02 18:46:00,30.17,51,89,0,
01/02/24,19:01,2024-01-02 19:01:00,30.17,50,89,0,
01/02/24,19:31,2024-01-02 19:31:00,30.17,51,90,0,
01/02/24,19:45,2024-01-02 19:45:00,30.17,50,90,0,
01/02/24,20:00,2024-01-02 20:00:00,30.17,50,90,0,
01/02/24,20:30,2024-01-02 20:30:00,30.18,50,91,0,
01/02/24,20:45,2024-01-02 20:45:00,30.18,50,91,0,
01/02/24,21:00,2024-01-02 21:00:00,30.17,50,91,0,
01/02/24,21:30,2024-01-02 21:30:00,30.18,51,91,0,
01/02/24,21:45,2024-01-02 21:45:00,30.18,51,92,0,
01/02/24,22:01,2024-01-02 22:01:00,30.17,51,91,0,
01/02/24,22:30,2024-01-02 22:30:00,30.17,51,92,0,
01/02/24,22:45,2024-01-02 22:45:00,30.18,51,92,0,
01/02/24,23:01,2024-01-02 23:01:00,30.18,51,92,0,
01/02/24,23:30,2024-01-02 23:30:00,30.18,52,92,0,
01/02/24,23:45,2024-01-02 23:45:00,30.17,51,92,0,
01/03/24,00:00,2024-01-03 00:00:00,30.16,50,92,0,
01/03/24,00:30,2024-01-03 00:30:00,30.15,50,92,0,
01/03/24,00:46,2024-01-03 00:46:00,30.15,50,92,0,
01/03/24,01:01,2024-01-03 01:01:00,30.14,51,92,0,
01/03/24,01:31,2024-01-03 01:31:00,30.13,51,92,0,
01/03/24,01:46,2024-01-03 01:46:00,30.13,50,92,0,
01/03/24,02:00,2024-01-03 02:00:00,30.12,50,92,0,
01/03/24,02:30,2024-01-03 02:30:00,30.11,50,92,0,
01/03/24,02:45,2024-01-03 02:45:00,30.1,50,92,0,
01/03/24,03:00,2024-01-03 03:00:00,30.1,50,93,0,
01/03/24,03:30,2024-01-03 03:30:00,30.08,50,93,0,
01/03/24,03:45,2024-01-03 03:45:00,30.08,50,93,0,
01/03/24,04:00,2024-01-03 04:00:00,30.08,50,93,0,
01/03/24,04:30,2024-01-03 04:30:00,30.07,50,93,0,
